15	40	67	78	33	94	66	5	71	93	53	42	23	78	85	49	5	99	56	77	47	73	47	17	69	75	25	57	15	42	100	68	27	64	25	72	41	83	17	6	1	36	69	70	16	9	11	100	71	29	48	48	22	85	33	54	26	77	8	74	94	58	26	13	86	4	96	71	51	82	22	32	72	27	91	19	63	8	62	59	40	54	41	40	77	24	30	48	80	24	86	30	5	3	32	9	2	53	86	46	34	71	78	14	17	59	10	87	23	71	83	63	36	28	4	28	53	89	69	11	2	51	48	9	44	38	78	81	23	65	67	65	4	17	32	98	41	91	67	6	37	16	33	87	12	81	34	79	12	97	53	49	25	52	18	82	90	4	65	14	74	78	12	72	44	49	77	82	74	33	56	58	41	71	5	54	24	43	45	31	51	92	9	96	100	4	23	11	95	56	37	72	36	6	14	30	76	11	95	69	4	18	77	91	84	28	38	57	93	68	71	94	67	30	80	27	47	95	99	45	13	23	36	86	86	7	76	73	36	76	39	24	3	59	58	25	71	50	44	68	59	52	90	76	84	50	66	33	12	20	4	10	83	87	56	68
4	46	90	4	45	95	23	35	92	37	11	39	48	13	49	45	75	16	60	79	7	22	18	25	72	56	86	62	90	20	1	6	63	3	32	77	13	85	43	10	22	78	91	2	26	37	52	24	5	35	3	10	87	22	7	85	10	29	5	17	13	3	98	37	100	98	50	81	45	78	94	20	0	53	10	96	48	23	84	35	13	20	16	58	16	7	49	44	33	18	73	51	63	78	73	32	0	19	15	83	42	46	75	9	97	34	33	28	27	18	13	52	36	38	19	80	48	36	92	78	52	65	35	83	87	97	63	79	55	69	96	1	3	72	94	12	1	36	98	11	14	95	9	29	55	96	75	76	38	73	60	89	28	29	79	39	53	6	70	36	14	56	41	13	68	92	40	46	52	96	60	75	31	12	73	24	87	38	97	1	29	97	43	18	23	57	11	88	46	20	57	83	31	87	0	57	67	80	100	59	2	54	42	36	79	71	98	48	1	29	75	86	44	58	29	0	46	79	76	58	85	76	51	33	46	10	99	55	96	81	100	92	15	50	29	40	90	55	29	16	54	32	36	44	15	75	15	51	46	100	26	24	42	90	23	22
90	82	73	44	26	28	55	4	2	28	25	18	28	87	67	68	39	90	32	16	45	24	52	80	13	45	21	80	66	98	15	61	65	26	74	42	2	10	11	77	100	32	89	15	70	79	22	35	37	82	28	18	84	39	95	56	66	91	98	61	47	72	6	13	86	48	97	40	46	86	67	39	43	4	62	14	30	26	10	45	17	95	44	6	5	62	90	18	52	54	10	90	3	4	86	97	52	19	36	19	95	29	82	90	51	30	84	87	64	62	60	12	47	9	41	74	66	80	15	99	57	88	91	89	47	99	8	74	59	8	26	12	73	99	57	25	98	30	37	78	62	72	51	53	74	73	46	53	94	17	83	69	65	87	8	78	72	60	25	4	23	23	79	18	24	93	67	72	11	89	6	72	60	67	51	26	73	28	89	64	43	27	5	84	78	23	67	43	56	3	98	11	17	38	58	39	7	20	66	41	100	84	34	10	92	97	100	65	97	21	19	66	65	86	30	69	12	20	100	6	63	96	88	64	12	12	60	34	43	22	69	32	31	5	41	77	42	91	82	41	15	50	94	28	70	43	11	70	75	82	16	31	26	64	55	47
2	67	58	93	35	55	86	75	61	19	5	17	32	92	92	84	41	88	92	90	20	91	27	49	89	33	9	78	45	29	89	77	59	48	63	2	45	18	73	79	56	29	79	97	58	50	24	63	42	90	42	52	33	34	100	40	34	42	68	83	93	87	17	63	95	65	70	9	67	81	73	64	83	88	40	69	32	43	35	1	63	14	73	81	16	62	41	93	96	58	73	53	7	28	31	12	17	51	42	21	96	33	31	15	60	88	44	21	21	50	28	57	26	1	97	99	32	70	59	2	2	8	86	54	9	89	99	72	56	6	26	82	52	45	84	51	41	77	58	59	44	61	4	42	2	1	4	46	10	86	81	30	92	45	87	16	96	11	75	49	0	13	6	28	68	3	20	85	5	30	67	75	35	78	29	40	88	74	100	12	63	56	90	90	57	16	60	1	77	68	50	0	4	49	27	68	63	96	90	22	9	3	14	48	36	85	89	95	32	90	35	9	78	30	23	72	86	46	55	44	38	5	85	99	99	79	76	55	76	98	75	51	55	13	62	28	31	26	50	77	12	73	62	37	31	20	49	29	63	59	2	42	65	90	84	52
20	30	14	53	77	16	78	79	6	64	35	93	25	8	95	67	1	27	86	3	100	27	83	80	13	25	10	84	18	95	97	80	62	57	48	58	6	94	46	2	75	15	20	12	89	71	89	18	95	31	25	4	56	95	1	24	52	99	74	99	88	15	45	16	52	66	89	77	16	100	79	89	2	68	83	25	24	7	77	31	34	31	61	16	80	73	15	1	85	32	82	90	10	72	31	89	8	45	46	45	56	28	67	93	19	25	11	69	2	40	35	33	93	68	13	74	99	88	84	33	78	35	86	77	28	15	88	34	1	55	62	22	61	96	6	38	75	40	4	82	93	43	45	16	46	6	53	99	31	71	34	98	92	99	69	10	32	82	23	79	70	78	2	99	3	40	80	74	72	39	57	35	1	74	2	13	45	54	47	88	21	16	87	83	82	63	49	34	48	37	79	98	20	95	82	59	82	76	57	73	21	30	39	23	82	71	25	57	96	4	24	41	31	7	56	25	23	79	87	61	1	81	84	77	28	27	81	100	11	26	19	83	13	77	3	5	5	27	73	80	67	20	20	23	89	27	28	100	94	31	47	68	13	70	37	52
26	60	12	3	80	30	76	46	65	22	21	21	53	47	99	35	86	89	24	15	22	2	43	47	21	82	39	32	67	68	85	6	13	56	17	5	84	100	41	10	70	16	14	71	26	8	33	20	92	84	53	42	2	23	59	38	90	74	16	13	52	15	55	76	60	62	49	41	78	3	52	32	12	64	94	17	71	23	43	84	25	24	29	3	42	87	27	45	30	6	1	24	11	21	34	54	25	37	66	33	80	56	7	11	80	84	8	47	8	87	17	74	46	51	47	20	98	19	41	35	89	57	98	3	2	87	92	95	24	51	56	36	86	97	79	99	42	88	19	85	4	39	48	96	6	50	32	31	95	17	97	77	100	7	9	88	95	30	44	64	93	29	55	20	78	43	17	62	30	68	0	92	94	38	65	19	34	75	69	41	96	3	10	27	100	81	64	46	57	48	56	81	41	83	32	76	9	23	52	85	77	67	34	58	39	74	75	32	92	86	53	74	27	72	7	88	62	87	91	56	58	96	79	100	90	49	97	29	14	69	72	53	63	100	95	67	72	10	31	88	3	69	7	33	60	51	76	43	6	60	67	13	19	63	34	51
77	66	26	15	19	84	42	49	39	73	0	4	43	39	47	96	8	81	91	81	53	22	92	10	94	32	38	40	77	23	79	90	24	38	29	76	41	85	64	81	30	23	51	61	9	25	24	71	56	61	58	55	68	77	21	22	21	88	83	19	12	89	67	97	47	36	42	11	58	61	32	7	61	89	10	90	22	56	26	90	82	77	37	18	82	29	87	8	81	30	78	74	46	74	97	19	32	13	9	53	80	80	41	83	73	92	34	81	26	37	50	66	90	5	72	48	86	27	66	41	6	74	9	24	30	56	89	65	20	67	72	56	10	46	6	37	65	91	38	28	11	43	84	58	24	89	97	65	37	43	64	60	65	32	90	8	89	48	83	26	68	78	87	18	54	81	71	35	54	68	69	81	9	93	51	15	29	77	58	67	71	71	91	28	83	99	70	39	59	36	98	78	10	23	57	0	97	95	94	60	31	55	15	33	7	37	54	76	52	73	9	62	36	5	66	78	58	58	59	56	31	50	14	60	89	6	100	66	0	97	46	10	2	97	61	51	68	39	81	95	39	16	47	19	17	28	30	13	84	68	42	89	99	57	7	0
83	57	69	47	20	74	90	39	1	84	35	70	87	51	24	75	22	42	42	78	53	41	83	44	2	20	6	35	40	40	17	41	25	75	19	80	35	85	12	80	92	62	78	62	3	30	60	94	55	32	10	27	37	64	45	41	57	42	35	7	80	82	23	71	51	53	1	84	18	71	50	9	77	10	43	33	65	0	35	55	99	28	81	69	73	23	66	100	2	89	11	97	88	92	14	74	24	7	32	67	93	60	74	42	97	50	74	47	0	29	34	17	83	60	90	60	11	11	40	49	72	2	11	28	59	14	40	71	22	98	28	92	18	7	16	40	51	45	7	79	79	32	41	83	51	77	35	71	1	44	21	44	99	45	51	75	91	41	87	68	95	24	17	60	29	75	45	75	90	29	66	93	38	52	14	59	22	21	52	72	48	16	44	5	49	82	95	99	65	56	14	61	6	50	90	20	35	25	12	17	22	86	60	65	68	57	40	99	81	58	51	13	52	12	80	12	74	7	36	47	58	84	10	76	13	99	50	1	60	54	83	69	19	67	34	61	99	59	55	75	49	22	38	33	23	57	66	30	86	66	79	50	73	12	76	18
18	96	58	60	66	66	45	37	9	9	20	39	22	6	81	94	4	38	1	25	41	39	2	87	40	88	17	81	78	65	64	26	71	65	48	77	7	41	8	46	55	57	34	12	92	92	25	0	77	13	0	2	53	87	82	80	7	99	85	22	48	63	2	7	0	27	48	57	20	45	82	12	47	52	52	63	8	54	61	47	95	73	25	17	6	62	69	17	34	14	46	85	91	86	90	8	49	98	94	100	49	78	50	72	3	79	44	30	57	54	61	79	42	73	9	23	91	95	79	10	19	91	12	29	29	25	19	32	62	14	84	54	42	61	95	15	26	23	86	77	63	91	53	100	49	60	65	49	23	78	64	23	2	73	21	49	15	18	71	99	36	70	90	91	25	79	32	89	80	88	8	91	74	95	15	51	42	89	33	89	35	35	11	89	84	89	19	96	6	51	49	77	64	38	63	77	28	76	74	69	54	47	29	30	12	81	90	65	68	51	15	31	100	93	46	2	35	42	97	4	51	78	61	30	8	42	73	63	2	11	84	82	57	15	22	36	39	93	85	42	20	45	4	8	53	26	2	22	51	80	15	34	36	6	17	89
48	88	66	0	36	98	37	94	11	1	89	10	36	91	25	43	64	34	99	97	80	83	19	24	1	94	77	88	94	20	85	34	0	22	50	77	37	11	65	52	72	99	80	70	82	88	88	8	84	61	38	33	66	30	12	88	10	61	13	62	19	79	68	10	7	96	5	93	97	31	36	91	72	52	83	94	92	82	41	21	90	34	58	54	81	84	57	27	7	39	35	36	17	35	29	27	51	26	62	79	32	59	40	43	58	47	19	8	70	96	46	11	85	24	21	16	13	67	20	60	23	81	34	40	73	24	4	53	85	29	32	9	25	6	1	45	24	41	60	3	41	2	64	46	80	22	84	6	51	14	1	11	99	44	62	26	18	54	86	9	57	54	48	95	22	4	56	99	66	2	72	28	93	67	56	99	86	86	45	97	66	9	94	96	35	2	30	5	63	42	21	67	88	97	17	19	10	69	55	26	79	92	46	83	37	93	93	100	81	50	97	15	67	49	82	29	56	1	88	16	84	95	48	58	22	48	45	87	14	0	91	71	68	59	79	48	50	37	47	6	10	87	66	44	55	33	19	40	23	39	74	58	63	4	13	15
